,SP500,AAPL,AMZN,GOOGL,NFLX
2012-01-01,"1,312.41",13.939234,194.440002,290.345337,17.171429
2012-02-01,"1,365.68",16.564137,179.690002,309.434448,15.818571
2012-03-01,"1,408.47",18.308075,202.509995,320.940948,16.434286
2012-04-01,"1,397.91",17.832624,231.899994,302.727722,11.448571
2012-05-01,"1,310.33",17.641771,212.910004,290.720734,9.062857
2012-06-01,"1,362.16",17.833229,228.350006,290.325317,9.784286
2012-07-01,"1,379.32",18.650387,233.300003,316.801788,8.121429
2012-08-01,"1,406.58",20.314007,248.270004,342.887878,8.531429
2012-09-01,"1,440.67",20.458267,254.320007,377.627625,7.777143
2012-10-01,"1,412.16",18.256956,232.889999,340.490479,11.32
2012-11-01,"1,416.18",17.949055,252.050003,349.534546,11.672857
2012-12-01,"1,426.19",16.39484,250.869995,354.044037,13.227143
2013-01-01,"1,498.11",14.032528,265.5,378.223236,23.605715
2013-02-01,"1,514.68",13.598443,264.269989,401.001007,26.86857
2013-03-01,"1,569.19",13.716742,266.48999,397.492493,27.040001
2013-04-01,"1,597.57",13.720462,253.809998,412.697693,30.867144
2013-05-01,"1,630.74",13.935821,269.200012,436.046051,32.32143
2013-06-01,"1,606.28",12.368639,277.690002,440.625641,30.155714
2013-07-01,"1,685.73",14.115399,301.220001,444.319305,34.925713
2013-08-01,"1,632.97",15.197461,280.980011,423.873871,40.558571
2013-09-01,"1,681.55",14.969061,312.640015,438.393402,44.172855
2013-10-01,"1,756.54",16.411814,364.029999,515.805786,46.068569
2013-11-01,"1,805.81",17.459566,393.619995,530.325317,52.257141
2013-12-01,"1,848.36",17.717833,398.790009,560.915894,52.595715
2014-01-01,"1,782.59",15.80968,358.690002,591.07605,58.475716
2014-02-01,"1,859.45",16.619427,362.100006,608.433411,63.66143
2014-03-01,"1,872.34",17.052502,336.369995,557.812805,50.290001
2014-04-01,"1,883.95",18.747458,304.130005,534.880005,46.005714
2014-05-01,"1,923.57",20.110729,312.549988,571.650024,59.689999
2014-06-01,"1,960.23",20.782465,324.779999,584.669983,62.942856
2014-07-01,"1,930.67",21.379568,312.98999,579.549988,60.388573
2014-08-01,"2,003.37",22.922653,339.040009,582.359985,68.234283
2014-09-01,"1,972.29",22.643364,322.440002,588.409973,64.454285
2014-10-01,"2,018.05",24.272789,305.459991,567.869995,56.110001
2014-11-01,"2,067.56",26.729284,338.640015,549.080017,49.512856
2014-12-01,"2,058.90",24.915255,310.350006,530.659973,48.80143
2015-01-01,"1,994.99",26.445658,354.529999,537.549988,63.114285
2015-02-01,"2,104.50",28.996321,380.160004,562.630005,67.844284
2015-03-01,"2,067.89",28.197504,372.100006,554.700012,59.527142
2015-04-01,"2,085.51",28.360672,421.779999,548.77002,79.5
2015-05-01,"2,107.39",29.523197,429.230011,545.320007,89.151428
2015-06-01,"2,063.11",28.542856,434.089996,540.039978,93.848572
2015-07-01,"2,103.84",27.603024,536.150024,657.5,114.309998
2015-08-01,"1,972.18",25.659662,512.890015,647.820007,115.029999
2015-09-01,"1,920.03",25.213482,511.890015,638.369995,103.260002
2015-10-01,"2,079.36",27.316509,625.900024,737.390015,108.379997
2015-11-01,"2,080.41",27.042196,664.799988,762.849976,123.330002
2015-12-01,"2,043.94",24.164383,675.890015,778.01001,114.379997
2016-01-01,"1,940.24",22.346201,587,761.349976,91.839996
2016-02-01,"1,932.23",22.196976,552.52002,717.219971,93.410004
2016-03-01,"2,059.74",25.156435,593.640015,762.900024,102.230003
2016-04-01,"2,065.30",21.636524,659.590027,707.880005,90.029999
2016-05-01,"2,096.96",23.04911,722.789978,748.849976,102.57
2016-06-01,"2,098.86",22.200186,715.619995,703.530029,91.480003
2016-07-01,"2,173.60",24.199596,758.809998,791.340027,91.25
2016-08-01,"2,170.95",24.638494,769.159973,789.849976,97.449997
2016-09-01,"2,168.27",26.394634,837.309998,804.059998,98.550003
2016-10-01,"2,126.15",26.509041,789.820007,809.900024,124.870003
2016-11-01,"2,198.81",25.803934,750.570007,775.880005,117
2016-12-01,"2,238.83",27.180202,749.869995,792.450012,123.800003
2017-01-01,"2,278.87",28.477959,823.47998,820.190002,140.710007
